mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
0,132.3685501974188,-15.860243629261848,0.0,1.0,2.0,19.86024362926185,21.405421073741415,False,False,True,False,False,False
1,95.51395023824038,-14.887837035287282,0.0,1.0,2.0,18.887837035287284,20.433014479766847,False,False,True,False,False,False
2,74.51884321961157,-18.39076236457592,2.55351295663786e-15,1.0,2.0,22.39076236457592,23.935939809055483,False,False,True,False,False,False
3,94.07595014568804,-23.480344037914403,0.0,1.0,2.0,27.480344037914403,29.02552148239397,False,False,True,False,False,False
4,133.07944136141592,-24.05736002736925,0.0,1.0,2.0,28.05736002736925,29.602537471848816,False,False,True,False,False,False
5,90.07306152004419,-15.399872549046108,0.0,1.0,2.0,19.399872549046112,20.94504999352567,False,False,True,False,False,False
6,99.32263136702035,-18.375699237778655,0.0,1.0,2.0,22.375699237778658,23.920876682258218,False,False,True,False,False,False
7,79.47180740085659,-0.02950893009736788,2.220446049250313e-16,1.0,2.0,4.029508930097368,5.5746863745769275,False,False,True,False,False,False
8,62.00518457686165,-19.54841876241784,1.0987877274715174e-12,1.0,2.0,23.548418762417835,25.093596206897402,False,False,True,False,False,False
9,100.24524758198493,-2.188215694620098,0.0,1.0,2.0,6.188215694620098,7.733393139099661,False,False,True,False,False,False
10,95.86756743420867,-20.540297851989024,0.0,1.0,2.0,24.540297851989017,26.085475296468584,False,False,True,False,False,False
11,80.79224553808984,5.9647289118377955,1.1102230246251565e-16,0.050672878318915204,2.0,-1.9647289118377955,-0.41955146735823234,True,True,True,False,False,False
12,65.26992303014066,-22.099584649185815,2.2570834090629432e-13,1.0,2.0,26.099584649185815,27.644762093665378,False,False,True,False,False,False
13,113.55987131175137,-17.5423214514717,0.0,1.0,2.0,21.5423214514717,23.087498895951263,False,False,True,False,False,False
14,84.72729047884764,-9.865239913841178,0.0,1.0,2.0,13.865239913841178,15.410417358320743,False,False,True,False,False,False
15,76.2698159348394,-30.54824455515526,1.1102230246251565e-15,1.0,2.0,34.548244555155264,36.09342199963483,False,False,True,False,False,False
16,70.52856224683333,-21.700376172826722,1.7541523789077473e-14,1.0,2.0,25.700376172826722,27.245553617306285,False,False,True,False,False,False
17,93.08366531564806,-16.018503143243308,0.0,1.0,2.0,20.018503143243308,21.563680587722875,False,False,True,False,False,False
18,71.72154865897834,-5.353472201871025,9.880984919163893e-15,1.0,2.0,9.353472201871025,10.898649646350584,False,False,True,False,False,False
19,108.42983666553727,-1.5315694109064903,0.0,1.0,2.0,5.531569410906489,7.076746855386055,False,False,True,False,False,False
20,67.4323084788805,-9.566785712792878,7.904787935331115e-14,1.0,2.0,13.566785712792878,15.111963157272442,False,False,True,False,False,False
21,92.42915614447935,-22.94801825328664,0.0,1.0,2.0,26.94801825328664,28.493195697766204,False,False,True,False,False,False
22,100.18329328710844,0.5887777418896842,0.0,0.7449867314131722,2.0,3.4112222581103158,4.956399702589879,False,False,True,False,False,False
23,120.64461484309646,-22.435431725223893,0.0,1.0,2.0,26.435431725223893,27.980609169703456,False,False,True,False,False,False
24,87.86879704840895,-16.23257650989516,0.0,1.0,2.0,20.232576509895157,21.777753954374724,False,False,True,False,False,False
25,83.9744166407217,-24.806511867326446,0.0,1.0,2.0,28.806511867326446,30.351689311806012,False,False,True,False,False,False
26,84.02237827567302,-19.747998676594964,0.0,1.0,2.0,23.747998676594964,25.293176121074527,False,False,True,False,False,False
27,126.9430713235664,-21.967906647570583,0.0,1.0,2.0,25.967906647570583,27.51308409205015,False,False,True,False,False,False
28,68.61170262616892,-2.408416361080567,4.451994328746878e-14,1.0,2.0,6.408416361080569,7.953593805560132,False,False,True,False,False,False
29,80.48451258254201,-12.458234694386725,1.1102230246251565e-16,1.0,2.0,16.458234694386725,18.003412138866288,False,False,True,False,False,False
30,41.877716100112295,-8.58759629760399,1.768412227765026e-08,1.0,2.0,12.58759629760399,14.132773742083558,False,False,True,False,False,False
31,84.46919498884078,-12.011135220000122,0.0,1.0,2.000000000930649,16.011135220000128,17.556312664479684,False,False,True,False,False,False
32,68.85199950830582,-11.83135660224239,3.963496197911809e-14,1.0,2.0,15.83135660224239,17.376534046721957,False,False,True,False,False,False
33,61.775352322975465,-8.474171105076927,1.2282397321428107e-12,1.0,2.0,12.474171105076927,14.01934854955649,False,False,True,False,False,False
34,71.30770933289509,-13.398978809531206,1.199040866595169e-14,1.0,2.0,17.398978809531208,18.94415625401077,False,False,True,False,False,False
35,79.00872986038625,-17.142739568330175,3.3306690738754696e-16,1.0,2.0,21.142739568330175,22.68791701280974,False,False,True,False,False,False
36,94.07074144561079,-3.305172105456739,0.0,1.0,2.0,7.305172105456737,8.8503495499363,False,False,True,False,False,False
