k_ell,amp
0.0,0.3983735932011087
1.1974759827226085,0.2824355396964532
2.394951965445217,0.38941021131754344
3.5924279481678254,0.773251004838528
4.789903930890434,1.0607768456228377
5.987379913613043,1.1131693518049632
7.184855896335651,0.958153373073277
8.38233187905826,0.7498058050147427
9.579807861780868,0.6860595087634244
10.777283844503478,0.7379955990280694
11.974759827226086,0.7022374137408663
13.172235809948695,0.5087594477706397
14.369711792671302,0.2554039974889694
15.56718777539391,0.21668387637130412
16.76466375811652,0.27135069723801764
17.962139740839127,0.16191526640297663
19.159615723561735,0.0847639538424113
20.357091706284347,0.34332761355207364
21.554567689006955,0.4858509795989484
22.752043671729563,0.47401555720091454
23.94951965445217,0.45791395967340237
25.146995637174783,0.6391951749822476
26.34447161989739,0.8673162485993756
27.54194760262,0.9622518022390569
28.739423585342603,0.9091816010354471
29.93689956806521,0.8717713653965743
31.13437555078782,1.0104334910525856
32.33185153351043,1.1927561200588315
33.52932751623304,1.2299006289723144
34.72680349895565,1.1109185390652738
35.924279481678255,1.0200925034201058
